title,scoiety,price,area,when ready,link
"3 BHK Apartment for Sale in Raheja Antares, Kanjurmarg Mumbai",none,Rs 3.80 Cr ,1345 sqft,Nov '29,https://www.magicbricks.com/raheja-antares-kanjurmarg-mumbai-pdpid-4d4235343233303733
"3 BHK Apartment for Sale in Raheja Amaltis, Sion West Mumbai",none,Rs 5.18 Cr ,1346 sqft,Sep '28,https://www.magicbricks.com/raheja-amaltis-sion-west-mumbai-pdpid-4d4235343233333337
"2 BHK Apartment for Sale in Piramal Revanta, Mulund West Mumbai",none,Rs 2.95 Cr ,1040 sqft,Mar '27,https://www.magicbricks.com/piramal-revanta-mulund-west-mumbai-pdpid-4d4235303938333339
"3 BHK Apartment for Sale in Inspira Aura, Borivali West Mumbai",none,Rs 3.29 Cr ,1108 sqft,Mar '29,https://www.magicbricks.com/inspira-aura-borivali-west-mumbai-pdpid-4d4235343231363531
"3 BHK Apartment for Sale in Chandak Treesourus, Malad West Mumbai",none,Rs 3.15 Cr ,1019 sqft,Dec '28,https://www.magicbricks.com/chandak-treesourus-malad-west-mumbai-pdpid-4d4235343037383939
"3 BHK Apartment for Sale in Rustomjee Seasons, Bandra East Mumbai",none,Rs 6.24 Cr ,1004 sqft,New Property,https://www.magicbricks.com/rustomjee-seasons-bandra-east-mumbai-pdpid-4d4235303237323636
"2 BHK Apartment for Sale in Cllaro Urban Grandeur, Mira Road East Mumbai",none,Rs 1.21 Cr ,714 sqft,Jun '27,https://www.magicbricks.com/cllaro-urban-grandeur-mira-road-east-mumbai-pdpid-4d4235333335393539
"2 BHK Apartment for Sale in Godrej Bliss, Kandivali East Mumbai",none,Rs 1.63 Cr ,686 sqft,Nov '27,https://www.magicbricks.com/godrej-bliss-kandivali-east-mumbai-pdpid-4d4235343130333237
"2 BHK Apartment for Sale in Ruparel Panache, Santacruz West Mumbai",none,Rs 4.52 Cr ,907 sqft,Dec '25,https://www.magicbricks.com/ruparel-panache-santacruz-west-mumbai-pdpid-4d4235333335373735
"2 BHK Apartment for Sale in Kaneri Heights, Naigaon East Mumbai",none,Rs 47.1 Lac ,584 sqft,Dec '25,https://www.magicbricks.com/kaneri-heights-naigaon-east-mumbai-pdpid-4d4235333235373235
"3 BHK Apartment for Sale in Lodha Adrina, Worli Mumbai",none,Rs 8.79 Cr ,1332 sqft,Dec '25,https://www.magicbricks.com/lodha-adrina-worli-mumbai-pdpid-4d4235343033313539
"3 BHK Apartment for Sale in L and T Island Cove, Mahim Mumbai",none,Rs 4.40 Cr ,1127 sqft,Aug '28,https://www.magicbricks.com/l-and-t-island-cove-mahim-mumbai-pdpid-4d4235343230323135
"3 BHK Apartment for Sale in Paranjape Athena, Bandra East Mumbai",none,Rs 3.28 Cr ,853 sqft,Dec '27,https://www.magicbricks.com/paranjape-athena-bandra-east-mumbai-pdpid-4d4235333939343839
"3 BHK Apartment for Sale in Purva Clermont, Chembur Mumbai",none,Rs 3.87 Cr ,1019 sqft,Jun '25,https://www.magicbricks.com/purva-clermont-chembur-mumbai-pdpid-4d4235323335363239
